personLabel,personDescription
Alice Golsen,German physicist
Adriana Bartoli,Argentinian botanist
Małgorzata Witko,
Tatiana Rozenthal,
Nina Trekova,
Ulrika Manns,Swedish botanist
Outi Savolainen,
Ewa Świeżewska,
Maria Marushchak,
Alexandra Smirnoff,pomologist (1838-1913)
Sherry Blakley,racecar driver
Pauline Mellon,Irish mathematician
Zeinabou Mindaoudou Souley,Nigerien physicist
Elizabeth Hardy,chemist
Iryna Liutikova,politician
Stella Chess,American child psychiatrist
Sachiko Kurosawa,botanist (1927-2011)
Varda Shalev,
Grace A. Goldsmith,physician and nutritionist
Anna Yelskaya,Ukrainian scientist
Lois Brako,American botanist
Marie Kališová,
Carol Ruckdeschel,biologist
Émilienne Poumirol,French deputy
Elizabeth Ruth Bennett,US mathematician
Maria Kirbasova,Russian human rights activist
Luz Zasso Paoa,
Uta Merzbach,American mathematician and historian of mathematics
Alice Schwartz,American billionaire businesswoman and Bio-Rad Laboratories co-founder
Christine Bénard,French physicist
Angela Kunoth,German mathematician
Brigitte Vallée,French mathematician
Halina Kwaśnicka,Polish computer scientist
Maria Kamińska,
Chahida Ben Fraj Bouraoui,Tunisian politician
Victoria Powers,
Svetlana Mikhailovna Avaeva,Russian chemist
Cora Ratto de Sadosky,"Argentinian mathematician, human rights activist and Adjunct professor (1912-1981)"
Isabella Moro,Italian botanist (1965-)
Joan Reede,African American physician and dean
Věra Kůrková,Czech mathematician and computer scientist
Martine Hansen,Luxembourgish politician
Rachel Nicol,american physician
Claire Deschênes,Canadian engineer
Carola Grönhagen-Riska,Finnish physician
Alison Cree,"New Zealand herpetologist, professor and researcher"
Sierra Jackson,American racing driver
Michelle Bholat,American physician
Susan Miller Rambo,American mathematician
Suzan Rose Benedict,American mathematician
Louise Pearce,American pathologist
Indrani Bose,Indian physicist
Edna Abouchdid,
Pilar Bayer i Isant,Spanish mathematician
Eugenia Paton,Ukrainian biologist
Ganira Pashayeva,Azerbaijani politician
Marianne Synnes,norwegische Molekularbiologin und Politikerin der konservativen Partei Høyre
Libera Trevisani Levi-Civita,Italian mathematician
Anne Mathilde Hanstad,Norwegian doctor
Benedicte Paus,Norwegian doctor
Barbara Liskov,American computer scientist
Judith Klavans,American computer scientist
Alice L. Kibbe,American botanist (1881-1969)
Alexandra Stolzing,researcher
Adriana E. Marvaldi,Argentine biologist
Mari Trommald,Norwegian physician
Merit-Ptah,Ancient Egyptian physician
Silvina Ponce Dawson,researcher
Mary Beth Ruskai,American mathematician
Virginia M. Alexander,American physician
Tschai Huei-Jane,Taiwanese general
Mei Hong,Chinese-American chemist
Susan G. Aiken,Canadian botanist (1938-)
Valentine Allorge,Russian-French botanist and bryologist (1888-1977)
Kei Okami,Japanese physician
Barbara Canright,American human computer
Susan Blessing,if you want to know how far you could dropkick a baby i could tell you
Concha Gómez,Italian and Cuban-American mathematician
Johanna Buchert,"Finnish researcher, Dr.Tech., president and CEO of Natural Resources Institute Finland (Luke), professor"
Dana Drešerová,Czech politician and doctor
Eleonora Corti Francini,Italian botanist (1904-1984)
Whang Youn Dai,South Korean doctor
Montserrat Bové i Marsal,spanische Ärztin
Maria Lluïsa Canut Ruiz,Spanish physicist
Cynthia Friend,American chemist
Aira Vuoristo,طبيبة فنلندية
Clara Benson,Canadian chemist
Iiris Kalliola,Finnish biologist
Liisa Elovainio,طبيبة فنلندية
Dorte Juul Jensen,Danish scientist
Minerva Cordero,Puerto Rican mathematician
Elda Emma Anderson,American physicist
Pino Caballero Gil,Spanish mathematician
Bärbel Koribalski,German astrophysicist
Dominique Langevin,French physicist
Elizabeth Fennema,American educator
Özlem Çetin,botanist
Elsbeth Lange,German archaeologist and botanist (1928-2009)
Clare Helminiak,Member of United States Public Health Service
Lottlisa Behling,botanist and art historian (1909-1989)
Constance Ellis,Australian physician
Constance Helen Frost,"Doctor, bacteriologist, pathologist"
Elsie May Burrows,British botanist and university teacher (1913-1986)
Isabelle Rico-Lattes,chercheuse française en chimie
Blanka Wladislaw,Brazilian chemist and scientist
Efigjeni Kongjika,Albanian biologist
Marjo Yliperttula,"Finnish chemist and inventor, professor of biopharmacy (University of Helsinki)"
Rachel Sibande,Malawian technology expert and computer scientist.
Winifred Brenchley,British botanist (1883-1953)
Nora Lilian Alcock,Pioneering plant pathologist (1874-1972)
Jana Košecká,Slovak computer scientist
Elenita Binay,Filipino politician
Denice Denton,American academic administrator
Carmen Magallón,Spanish physicist
Elizabeth Casson,British doctor
Magda Campins Martí,researcher
Elaine M. McGraw,American computer programmer
Ana Cláudia Araújo,botanist
Irena Aulitisová,"Czechoslovak member of Czechoslovak parliament, doctor and slovak nation politician"
Juliana de Paula-Souza,botanist
Maria do Socorro Pereira,botanist
Danuta Przeworska-Rolewicz,Polish mathematician
Ellen Støkken Dahl,"Medical student, writer"
W. Eikrem,phycologist
Sangeeta N. Bhatia,American nanotechnologist
Dagny Bang,Norwegian physician
Miggy Biller,British mathematics teacher
Kathryn Lewis,American mathematician
Angelica von Hofsten,botanist (1926-2007)
Ida Kinalska,Polish endocrinologist
Anneli Palo,Estonian botanist
Helena Edlund,Swedish biologist
Pauline Kies,South African botanist (1918-1999)
Della Bell,mathematician
Soejatmi Dransfield,botanist
Amelia Verdejo Rodríguez,Spanish mathematician
Karla Aparicio,Panamanian biologist
Marie-Thérèse Tholl,Luxembourgish botanist and mycologist
Rachael Padman,Australian physicist
Maevia Noemí Correa,Argentinian botanist (1914-2005)
Lyudmila Goryachkina,researcher
Maya Simionescu,Romanian biologist
Naiomi Cameron,american-born mathematician
Irene Sewankambo,
Maria Spasova,Bulgarian chemist
Fiona Fairhurst,British inventor
Elżbieta Krzęcio-Nieczyporuk,
Zofia Wyszkowska,
Deborah Chung,American materials scientist
Susan Cunningham,American mathematician
Helena Chmura Kraemer,American biostatistician
Anna Wisborg Blix,Norwegian journalist
Cathy O'Neil,American mathematician
Annie Loebenstein,"deutsche Chemikerin, Ingenieurin und Übersetzerin"
Cornelia Fabri,Italian mathematician
Q66424805,russische Ärztin und Kinderärztin
Jessamy Tiffen,Australian scientist
Yuki Okoda,Japanese astronomer
Marie Součková,Czech minister of health of the CR and doctor
Elena Braverman,"Russian, Israeli, and Canadian mathematician"
Heidi Becker,American ballerina and physicist
Susan Houde-Walter,American physicist
Sylvia Bozeman,American mathematician
Jade Wang,American computer programmer and neuroscientist
Anna Beckman,Swedish physicist
Eva Regnier,
Apryll Stalcup,American chemist and academic
Maia García,spanische Physikerin und Forscherin
Claudia Megan Urry,American astrophysicist
Sophie Dabo,French-Senegalese mathematician
Saskia Esken,German politician
Flóra Martos,politician
Anne Edwards,British plant scientist
Ivana Ivanović-Burmazović,Biochemikerin
Stella Cunliffe,British statistician
Marion Lee Johnson,
Ada Poon,
Suzanne Lenhart,American mathematician
Elena Marchisotto,Mathematician
Rebecca Mercuri,American expert in computer security
Annie Lorrain Smith,British mycologist and lichenologist (1854-1937)
Emily Stowe,Canadian physician
Rita Baranwal,
Louise Laroche,ingeniera francesa
Sarah M. Assmann,American biologist
Blanca Silveira,Astroaficionada venezolana
Lenore Blum,American computer scientist and mathematician
Theodora Clemens Hall,Doctor
Inés Luisi,médica uruguaya
Linda Katherine Escobar,American botanist (1940-1993)
Caroline Schultze,Polish physician
Marta Catellani,
Valerie Dean O'Loughlin,
Maria Eneydna Pacheco Kauffman Fidalgo,"Brazilian woman mycologist, taxonomist, professor (1928-1970)"
Danica Perović,Yugoslav military physician
Anna Erdei,Hungarian biologist
Maria Beatriz Cerazo,botanist
Marisa Otegui,botanist
Olga Stützer,botanist
Romana Rybková,botanist
Rina Dechter,computer scientist
Suzanne Yoakum,American physicist
Matutina Rodríguez Álvarez,médico
Luísa Viqueira Landa,
Oksana Chaichuk,ukrainian physician
Barbara G. Ryder,American computer scientist
Gertrude Perlmann,American chemist
Margaret D. Foster,American chemist
Mary Bidwell Breed,American chemist
Nell B. Dale,American computer scientist
Abella,14th century Roman physician
Catherine Clarke Fenselau,American scientist
Susan Lynch,American pediatrician
Roxana Judkins Stinchfield Ferris,U.S. botanist (1895–1978)
Sara Seager,Canadian astronomer
Sarah Moore,Australian writer and former member of a new religious movement
Sandra Carpenter,businessperson
Dolors Lleonart i Casanovas,
Rita Singh,Indian botanist and entomologist
Sister Mary Domitilla Thuener,Nun and mathematician
Leone Burton,British mathematician
Shazia Khalid,Pakistani doctor
Elizabeth Roemer,American astronomer
Sari Tanus,Finnish politician
Mary Bradburn,British mathematics educator
Frances Montresor Buchanan Allen Penniman,American botanist (1760-1834)
Amelia M. Deferrari,Argentine botanist
Bożena Nowak-Szymura,Polish computer scientist
Irene Condachi,Maltese physician
Celeste Baranski,American engineer and entrepreneur
Rihab Taha,Iraqi microbiologist
Johanna Wanka,German mathematician and politician
Martha Annie Whiteley,English chemist
Jekaterina Chasjanowna Mamlejewa,russische ingenieurin und Bergsteigerin
María Viñas,Uruguay engineer
Jill S. Miller,U.S. botanist
Uma Chowdhry,American chemist
Victoria Meadows,American astronomer
Victoria Hale,American chemist
Marsha Berger,American computer scientist
Margarita Mitrofanovna Sovetkina,Soviet botanist (1892-1950)
Vera Nikolaevna Maslennikova,mathematician
Orna Kupferman,Israeli computer scientist
Shirley Pledger,New Zealand mathematician and statistician
Janet L. Kavandi,astronaut
Tamara E. Jernigan,astronaut
Margaret Lindsay Huggins,astronomer
Margaret Mayall,astronomer
Martha Brown,mathematician
Naomi Novik,American writer
Viktoria H Gessner,chemist
Rosena Allin-Khan,British politician (born 1977)
Beatrice Mintz,American biologist
Lily Neo,Singaporean politician
Connie Guion,US physician
Charlotte Moore Sitterly,American astronomer
Léna Soler,French physicist
Kathryn Hach-Darrow,American businesswoman
Janina Świętosławska-Żółkiewska,
Petra Winzer,German engineer
Aniela Kamińska-Benmechernene,
Naomi Feinbrun-Dothan,"Botanist, University Professor (1900-1995)"
Olga Russakovsky,Russian computer scientist
Brigitte Servatius,Professor of mathematics
Annick Loiseau,French physicist
Sophie Bledsoe Aberle,"American anthropologist, physician and nutritionist"
Maria Iracema Bezerra Loiola,Brazilian biologist and botanist
María Luz Terrada Ferrandis,"spanische Ärztin, Informationswissenschaftlerin, Forscherin und Wissenschaftshistorikerin"
Ritu Karidhal,Indian scientist and aerospace engineer
Anna-Kaarina Aalto,Finnish physician and politician
Riitta Kauppinen,Finnish physician and politician
Claudia Linnhoff-Popien,German computer scientist
Nancy Garcia,Brazilian mathematician
Juliet Gerrard,New Zealand chemist
Frances Wood,English chemist and statistician
Renata Sõukand,
Charmian O'Connor,New Zealand physical organic chemist
Moogega Cooper Stricker,American astronomer
Françoise Soussaline,French biophysicist and businesswoman
Abigail Vieregg,physicist
Emmy Murphy,American mathematician
Mary K. Vernon,American computer scientist
Stephanie Seneff,American computer scientist
Alicia Dickenstein,Argentine mathematician
Marjorie Grene,American philosopher
Jeanne Reybaud,طبيبة فرنسية
Pelageya Shajn,Russian astronomer
Valérie Fourneyron,French politician
Rauni-Leena Luukanen-Kilde,"Finnish ufologist, parapsychologist and author"
Aletha Maybank,American physician
Yvonne Dold-Samplonius,"Dutch mathematician, historian of mathematics and historian (1937-2014)"
Jessica Kandel,American physician
Daniela Santos Carneiro-Torres,botanist
Rita de Cássia Araújo Pereira,botanist
Christine Böckmann,German numerical analyst
Dana L. Suskind,American pediatric surgeon
Antonia Maury,American astronomer
Catherine Bréchignac,French physicist
Zulma Brandoni de Gasparini,Argentinian paleontologist
Nádia Campeão,Brazilian politician
Juliana Freire,Brazilian computer scientist
Olga Pilipenko,"sowjetisch-russische Maschinenbauingenieurin, Hochschullehrerin und Politikerin"
Agnes Meyer Driscoll,American cryptographer
Maria Ząbkowska-Wacławek,
Katarzyna Wojdak-Maksymiec,
Guergana Petrova,Bulgarian applied mathematician
Barbara Nowacka,Polish politician
Claire Mohant,French botanist (1851-1919)
Maureen Kimenye,Kenyan physician
Frances G. Davies,British botanist
Etta C. Gravely,American chemist
Nora B. Muruaga,Argentinian botanist
Linda C. Meade-Tollin,American biochemist
Annikki Mäkelä,"Finnish researcher,  professor of silviculture / forest production (University of Helsinki)"
Bianca Assis Barbosa Martins,Brazilian botanist
Carmen Lence,Spanish botanist
Elena Lago,Spanish botanist
Genise Vieira Somner,Brazilian botanist
Gleidineia Leite Campos,Brazilian botanist
Marina Dan,Japanese biologist
Nancy Talbot Clark,American physician
Maura Tombelli,Italian astronomer
Karen Willcox,Aerospace engineer and computational scientist
Victoria Coleman,Director of DARPA
Geraldine L. Richmond,American chemist and physicist
Mildred Widgoff,American physicist
Katriona Shea,scientist
Maria Verônica Leite Pereira,botanist
Kathryn E. Hare,Canadian mathematician
Abigail Thompson,American mathematician
Dina St Johnston,computer programmer
Maria de Nazaré do Carmo Bastos,Botánica brasileña
Renata Corrêa Martins,Brazilian botanist and taxonomist
Tânia Wendt,Brazilian woman botanist and taxonomist
Florence Martin,Australian-American physicist and philanthropist (1867-1957)
Mahulena Čejková,Czech politician and doctor
Meera Chandrasekhar,American physicist
Judit Moschkovich,American academic
Cristina Bestetti Costa,Brazilian woman botanist and taxonomist
Maria Candida Henrique Mamede,Brazilian woman botanist and taxonomist
Soňa Nevšímalová,Czech neurologist
Susan Mary Auld,British naval architect
Mary Anne Stebbing,"English botanist, botanical and scientific illustrator (1845-1927)"
Elizabeth Eleanor Field,British chemist
Alejandrina Ávila Ortiz,Mexican botanist
Jacqueline Ceja Romero,Mexican botanist
Valancina Svyatskaya,Belarusian politician
Antonella Bartoli,Argentinian botanist
Nivea Dias Santos,Brazilian botanist
Phillippa Scott Wells,CERN' English physicist
Cheryl Martin,American chemist
Mary Beatrice Thomas,chemist
Gönöl Kaynak,Turkish botanist
Mary Almera Parsons,"1850-1944 , physician and reformer"
Zofia Matysikowa,
Eneida Martins,botanist
Sinknesh Ejigu,Ethiopian politician
María Josefa Yzuel Giménez,Spanish professor
Sybil Lewis,
Mercedes López-Morales,Spanish-American astrophysicist
Hilda Julieta Arreola-Nava,botanist
Wendy C. Hodgson,botanist
Angela Yeribekyan,Armenian physician
Ivika Ostonen-Märtin,researcher
Maaike Kroon,Dutch university professor
Lydia Sohn,mechanical and bio-engineer
Isabel Escobar,Amercan chemist
Camille Petit,French chemist
Barbara M. Middlehurst,Welsh astronomer
Camila Merino,Chilean civil engineer and politician
Perchanoush Msryan,Armenian architect
Carola Lemne,طبيبة سويدية
Kaisa Miettinen,Finnish scientist
Lavinia Loughridge,Northern Irish physician
Zvezdelina Stankova,Bulgarian mathematician
Margaret T. Fuller,American biologist
Eva Miranda,Spanish mathematician
María Goreti Campos Ríos,Mexican botanist
Miriam Teresita Chehaibar,Mexican botanist
Julianna Lisziewicz,Hungarian immunologist
