personLabel,occupationLabel,institutionLabel
Paulina Seidenbeutel-Karbowska,physician,University of Zurich
Amy S Mullin,chemist,University of Colorado Boulder
Joyanti Chutia,physicist,Gauhati University
Leslie Ann Goldberg,computer scientist,Rice University
Elizabeth Wilson,physician,King's College London
Valeria de Paiva,computer scientist,University of Cambridge
Dena Grayson,physician,Melbourne High School
Nashwa Eassa,physicist,University of Khartoum
Euphemia Cowan Barnett,botanist,University of Aberdeen
Julie Story Byerley,physician,University of North Carolina at Chapel Hill
Trachette Jackson,mathematician,Arizona State University
Viktoriya Vagnyer,physician,Kherson Basic Medical College
Dianne P. O'Leary,mathematician,Purdue University
Debrework Zewdie,physician,Addis Ababa University
Johannie Maria Spaan,biologist,University of Georgia
Sheri McCoy,engineer,Rutgers University
Edith Humphrey,chemist,University of Zurich
Danielle Jones,physician,Texas A&M University
Susan Horn,mathematician,Cornell University
Jane Claire Dirks-Edmunds,biologist,University of Illinois system
Berit Austveg,physician,University of Oslo
Jean E. Sammet,computer scientist,University of Illinois at Urbana–Champaign
Carolyn Parker,physicist,Fisk University
Maureen C. Stone,computer scientist,University of Illinois at Urbana–Champaign
Ora Golan,physician,Oregon State University
Lucy Campbell,mathematician,University of Cambridge
Camelia Beldie,chemist,Alexandru Ioan Cuza University
Jocelyn Bell Burnell,physicist,University of Glasgow
Joanna Maria Vandenberg,chemist,Leiden University
Clare Waterman,biologist,University of Pennsylvania
Lucy Campbell,mathematician,University of Toronto
Gertrude Blanch,mathematician,Cornell University
Carol T. Alonso,physicist,Massachusetts Institute of Technology
Virginia Ragsdale,mathematician,University of Göttingen
Stephanie Wehner,physicist,University of Amsterdam
Q24010793,physician,Imperial University of St. Vladimir
Amy Rosenzweig,chemist,Massachusetts Institute of Technology
Miriam Burland,astronomer,McGill University
Eva Kallin,mathematician,"University of California, Berkeley"
Karin Loser,biologist,University of Münster
Michelle Coote,chemist,University of New South Wales
Daphne Koller,computer scientist,Hebrew University of Jerusalem
Sara Imari Walker,physicist,Florida Institute of Technology
Giuseppina Pastori,biologist,University of Milan
Me-Iung Ting,physician,University of Michigan Medical School
Angela R. Hight Walker,physicist,Wesleyan University
Carrie Derick,botanist,University of Bonn
Yang Dan,biologist,Fudan University
Elizabeth Belding,computer scientist,Florida State University
Barbara Wohlmuth,mathematician,Joseph Fourier University
Silvia Casalino,engineer,École nationale supérieure de l'aéronautique et de l'espace
Kathleen Anne Kron,biologist,Michigan State University
Ruby Hightower,mathematician,Shorter College
Grażyna Garbaczewska,botanist,University of Wrocław
Ana Maria Goulart de Azevedo,botanist,University of Campinas
Diane Greene,engineer,Massachusetts Institute of Technology
Milda Lauberte,physician,Riga Stradiņš University
Estela V. Welldon,physician,National University of Cuyo
Charlotte Douglas,physician,University of Glasgow
Jeanne Ferrante,engineer,Massachusetts Institute of Technology
Margaretta Palmer,astronomer,Yale University
Margaretta Palmer,mathematician,Yale University
Q9390320,chemist,Tatung University
Olga Voziakova,astronomer,MSU Faculty of Physics
Miia Rannikmäe,chemist,University of Tartu
Letitia Obeng,botanist,University of Birmingham
Alice Middleton Boring,biologist,Bryn Mawr College
Jenna Lê,physician,Harvard University
Livia S. Eberlin,chemist,Purdue University
Melania Alvarez,mathematician,Stanford University
Maria Folkeson,physician,Uppsala University
Heather Zar,physician,University of the Witwatersrand
Elizabeth Abimbola Awoliyi,physician,University of Dublin
Beatrice Hicks,engineer,Newark College of Engineering
Elizabeth Bukusi,physician,University of Nairobi
Laura Guggenbühl,mathematician,Bryn Mawr College
Jenny Y Yang,chemist,Massachusetts Institute of Technology
Florence Eliza Allen,mathematician,University of Wisconsin–Madison
Maria Del Carmen Fidalgo Sanchez Puga,engineer,Universidade Federal da Bahia
Monique Simmonds,botanist,University of Leeds
Sabine Stanley,physicist,University of Toronto
Marie Brockmann-Jerosch,botanist,University of Zurich
Judy Goldsmith,computer scientist,Princeton University
Sunita Williams,engineer,Needham High School
Cassie Mitchell,chemist,Emory University
Leonora King,physician,University of Michigan Medical School
Rozalia Nusbaum-Hilarowicz,biologist,University of Geneva
Martina Havenith-Newen,chemist,University of Bonn
Anna Pelczar-Barwacz,mathematician,Jagiellonian University
Nüzhet Gökdoğan,astronomer,Erenköy Girls High School
Marta Martínez Alonso,mathematician,Complutense University of Madrid
Anne Gillespie Shaw,engineer,St Leonards School
Halszka Tutaj-Gasinska,mathematician,Jagiellonian University
María Ángeles García Ferrero,mathematician,Complutense University of Madrid
Inga Giorgadze,physician,Tbilisi State Medical University
Wirginia Maixner,physician,Sydney Medical School
Margaret Ensign Lewis,botanist,University of North Carolina at Chapel Hill
Elaine Diacumakos,biologist,University System of Maryland
Sheila McIlraith,computer scientist,University of Toronto
Elaine Diacumakos,biologist,New York University
Marthe Gautier,physician,Faculté de médecine de Paris
Jennifer Mary Weller,physician,University of Adelaide
Betty Johnson,engineer,University of Manchester Institute of Science and Technology
Luz Oliveros-Belardo,chemist,University of the Philippines
Zuzana Kečkéšová,biologist,University College London
Sara Plummer Lemmon,botanist,Oread Institute
Rosa Galvez,engineer,McGill University
Fabienne Casoli,astronomer,École normale supérieure
Elizabeth Tasker,astronomer,Durham University
Lisa Dyson,physicist,Brandeis University
Celeste Lyn Paul,programmer,Duquesne University
Ada Hayden,botanist,Washington University in St. Louis
Hélène Esnault,mathematician,Paris Diderot University
Stephanie Forrest,computer scientist,University of Michigan
Kateřina Falk,physicist,University of Oxford
Elena Long,physicist,Juniata College
Lisa Dyson,physicist,Imperial College London
María Luisa Carcedo,physician,University of Oviedo
Lydia Rabinowitsch-Kempner,physician,University of Zurich
Tuanku Zara Salim,engineer,University of Nottingham
Selma Soysal,mathematician,Istanbul University
Mary Lou Jepsen,computer scientist,Massachusetts Institute of Technology
Dorota Skowron,astronomer,University of Warsaw
Jennifer Mary Weller,physician,University of Auckland
Ada Hayden,botanist,Iowa State University
Cecylia Wesołowska,physicist,Jagiellonian University
Louise Giblin,chemist,Columbia University
Sophie Adenot,engineer,Institut Supérieur de l'Aéronautique et de l'Espace
Margit Pohl,computer scientist,TU Wien
Ruth DeFries,biologist,Johns Hopkins University
Susan Albin,engineer,Columbia University
Suranganie Dharmawardhane,chemist,University of Massachusetts Amherst
Valérie Van Grootel,astronomer,Université de Montréal
Bertha Swirles,mathematician,Northampton School for Girls
Dorothea Rhodes Lummis Moore,physician,Boston University School of Medicine
Pino Caballero Gil,mathematician,University of La Laguna
Marie-Thérèse Tholl,botanist,Robert Schuman Lyceum
Kathleen Anne Kron,botanist,University of Florida
Jo Ellis-Monaghan,mathematician,University of Vermont
Maria Gordina,mathematician,Cornell University
Marie Stopes,biologist,Ludwig Maximilian University of Munich
Eliane Elisa de Souza e Azevedo,physician,University of London
Alessandra Lunardi,mathematician,University of Pisa
Beatrice Tinsley,astronomer,University of Texas at Austin
Sarah Zerbes,mathematician,University of Cambridge
Shuchi Chawla,computer scientist,Carnegie Mellon University
Zofia Maternowska,physician,Lviv University
Regina Barzilay,computer scientist,Columbia University
Marília Chaves Peixoto,engineer,Federal University of Rio de Janeiro
Helen F. Cullen,mathematician,University of Massachusetts Amherst
Sarah J. Greenwald,mathematician,Union College
Elsa Neumann,physicist,Humboldt University of Berlin
Lily May Perry,botanist,Acadia University
Agata Ciabattoni,mathematician,University of Bologna
Winona Hazel Welch,botanist,DePauw University
Emily Willbanks,mathematician,University of New Mexico
Éliane Le Breton,physician,University of Strasbourg
Izumi Mikami,engineer,Tohoku University
Zorya Shapiro,mathematician,MSU Faculty of Mechanics and Mathematics
Dorothy Lewis Bernstein,mathematician,Brown University
Ester Simonetti,botanist,University of Buenos Aires
Pamela Silver,biologist,University of California
Marie De Groodt-Lasseel,physician,Ghent University
Nouria Hernandez,biologist,University of Geneva
Sachiko Karaki,engineer,Kanazawa University
Clare Waterman,biologist,Mount Holyoke College
Mary Alice McWhinnie,biologist,DePaul University
Gladys W. Royal,chemist,Ohio State University
Varia Demidova,engineer,Damascus University
Clara Pinto Correia,biologist,Harvard University
Beryl May Dent,engineer,University of Bristol
Susan M. Kauzlarich,chemist,College of William & Mary
Mara Rejane Ritter,botanist,Federal University of Rio Grande do Sul
Amina Doumane,mathematician,École Centrale Paris
Tomo Inouye,physician,University of Michigan
Zofia Piotrowska-Seget,biologist,University of Silesia in Katowice
Lina Hahne,physician,Umeå University
Diana Atwine,physician,Mbarara University of Science and Technology
Zofia Pietruska,physician,Medical University of Lublin
Mahbouba Gharbi,engineer,Télécom Paris
Elizabeth McHarg,mathematician,Girton College
Virginia Cornish,biologist,Columbia University
Catherine Havasi,computer scientist,Massachusetts Institute of Technology
Claudia Klüppelberg,mathematician,University of Mannheim
Grace Lotowycz,botanist,Vassar College
Folashade Sherifat Jaji,chemist,University of Ibadan
Jan Evans-Freeman,engineer,University of Manchester
Q16336418,biologist,University of Arkansas
Christy Haynes,chemist,Northwestern University
Mae C. Jemison,engineer,Stanford University School of Engineering
Barbara Burgess,biologist,Purdue University
Judith A. Ramaley,biologist,Swarthmore College
Tebello Nyokong,chemist,University of Western Ontario
Elizabeth Bell,physician,Queen's University Belfast
Hilda Crosby Standish,physician,Wellesley College
Rita Guibert,chemist,University of Buenos Aires
Elisabeth Gwinn,physicist,Swarthmore College
Lisa Anthony,computer scientist,Carnegie Mellon University
Donna Amenta,chemist,Wheaton College
Q18634040,biologist,Chelyabinsk State University
Carolyn Parker,physicist,University of Michigan
Elva Lawton,botanist,University of Pittsburgh
Grace Hopper,computer scientist,Wardlaw-Hartridge School
Hilary Kahn,computer scientist,University of London
Gaiti Hasan,biologist,Jawaharlal Nehru University
Barbara Bates,physician,Weill Cornell Medicine
Carolina Araujo,mathematician,Pontifical Catholic University of Rio de Janeiro
Sylvia Wiegand,mathematician,University of Wisconsin–Madison
Lois Tripp Slocum,astronomer,Smith College
Ruth Gentry,mathematician,University of Michigan
Fátima Ferreira,biologist,University of São Paulo
Angie Turner King,mathematician,West Virginia State University
Kristine French,biologist,University of Sydney
Maria Marushchak,physician,I.Ya. Horbachevsky Ternopil National Medical University of Ministry of Health Care of Ukraine
Q12088187,engineer,Taras Shevchenko National University of Kyiv
France A. Córdova,astronomer,Stanford University
Valeria de Paiva,mathematician,University of Cambridge
Pauline van den Driessche,computer scientist,Aberystwyth University
Marian Palmer Capps,mathematician,University of Wisconsin–Madison
Patricia Zerfas,biologist,"University of Maryland, Baltimore"
Roseli Ocampo-Friedmann,botanist,Florida State University
Ethel M. Elderton,mathematician,Bedford College
Louise Eisenhardt,physician,Tufts University School of Medicine
Judith Tukahirwa,biologist,Wageningen University & Research
Kathryn Uhrich,engineer,Cornell University
Swati Piramal,physician,University of Mumbai
Jean E. Sammet,mathematician,University of Illinois at Urbana–Champaign
Matilde Marcolli,mathematician,University of Milan
Zofia Michalewska,physician,Medical University of Łódź
Roger Arliner Young,biologist,Howard University
Mariam Harutyunyan,mathematician,Yerevan State University
Ann Kelleher,engineer,University College Cork
Louise Nixon Sutton,mathematician,North Carolina Agricultural and Technical State University
Mezei Ildikó Ilona,mathematician,Babeș-Bolyai University
Diane Fordney,physician,"University of California, Davis"
Silvia Heubach,mathematician,University of Southern California
Shafagat Mahmudova,mathematician,Baku State University
Q56331625,engineer,Chalmers University of Technology
Gloria Becker Lubkin,physicist,Boston University
Pia Nalli,mathematician,University of Palermo
Barbara Hohn,chemist,University of Tübingen
